goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
,BenchmarkAppend-expand.txt,,BenchmarkAppend-for.txt,,,,BenchmarkAppend-for_index.txt,,,,BenchmarkAppend-for_prealloc.txt,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Append/size=5000_subset=500-10,2.4225e-06,10%,1.11425e-05,4%,+359.96%,p=0.002 n=6,3.2705000000000003e-06,1%,+35.01%,p=0.002 n=6,3.4200000000000003e-06,1%,+41.18%,p=0.002 n=6
Append/size=10000_subset=500-10,3.904e-06,15%,2.1328000000000003e-05,1%,+446.31%,p=0.002 n=6,6.0025000000000006e-06,1%,+53.75%,p=0.002 n=6,6.2655e-06,0%,+60.49%,p=0.002 n=6
Append/size=50000_subset=500-10,1.5596500000000002e-05,15%,0.00010505550000000001,0%,+573.58%,p=0.002 n=6,2.55855e-05,2%,+64.05%,p=0.002 n=6,2.6402000000000002e-05,1%,+69.28%,p=0.002 n=6
Append/size=100000_subset=500-10,2.71885e-05,14%,0.000215532,1%,+692.73%,p=0.002 n=6,5.79595e-05,2%,+113.18%,p=0.002 n=6,6.32145e-05,3%,+132.50%,p=0.002 n=6
Append/size=500000_subset=500-10,0.00011334650000000002,12%,0.0009962125,5%,+778.91%,p=0.002 n=6,0.000196903,3%,+73.72%,p=0.002 n=6,0.0001780855,5%,+57.12%,p=0.002 n=6
Append/size=1000000_subset=500-10,0.00023206050000000003,12%,0.0017777845,2%,+666.09%,p=0.002 n=6,0.00034750650000000004,2%,+49.75%,p=0.002 n=6,0.00035688950000000005,2%,+53.79%,p=0.002 n=6
Append/size=10_subset=1000-10,8.237e-07,19%,7.958000000000001e-07,11%,-3.39%,p=0.041 n=6,7.1735e-07,2%,-12.91%,p=0.002 n=6,7.774e-07,2%,-5.62%,p=0.002 n=6
Append/size=50_subset=1000-10,8.3035e-07,2%,7.9665e-07,1%,-4.06%,p=0.002 n=6,5.8455e-07,0%,-29.60%,p=0.002 n=6,6.3985e-07,0%,-22.94%,p=0.002 n=6
Append/size=100_subset=1000-10,8.1935e-07,1%,8.068e-07,1%,-1.53%,p=0.002 n=6,5.958000000000001e-07,7%,-27.28%,p=0.002 n=6,6.4065e-07,0%,-21.81%,p=0.002 n=6
Append/size=500_subset=1000-10,1.1615e-06,8%,8.934500000000001e-07,7%,-23.08%,p=0.002 n=6,8.956e-07,0%,-22.89%,p=0.002 n=6,9.0545e-07,1%,-22.04%,p=0.002 n=6
Append/size=1000_subset=1000-10,1.2615000000000001e-06,1%,2.026e-06,12%,+60.60%,p=0.002 n=6,1.2805e-06,2%,+1.51%,p=0.026 n=6,1.291e-06,1%,+2.34%,p=0.002 n=6
Append/size=5000_subset=1000-10,2.5165000000000004e-06,1%,9.065e-06,8%,+260.22%,p=0.002 n=6,3.377e-06,3%,+34.19%,p=0.002 n=6,3.5100000000000003e-06,2%,+39.48%,p=0.002 n=6
Append/size=10000_subset=1000-10,4.001e-06,2%,1.8284500000000004e-05,0%,+357.00%,p=0.002 n=6,6.243e-06,1%,+56.04%,p=0.002 n=6,6.283000000000001e-06,0%,+57.04%,p=0.002 n=6
Append/size=50000_subset=1000-10,1.5303e-05,2%,0.00011297500000000001,8%,+638.25%,p=0.002 n=6,2.5632500000000002e-05,3%,+67.50%,p=0.002 n=6,2.64295e-05,0%,+72.71%,p=0.002 n=6
Append/size=100000_subset=1000-10,2.6974000000000003e-05,2%,0.000234039,5%,+767.65%,p=0.002 n=6,6.1913e-05,3%,+129.53%,p=0.002 n=6,6.413150000000001e-05,4%,+137.75%,p=0.002 n=6
Append/size=500000_subset=1000-10,0.0001124605,19%,0.000964138,3%,+757.31%,p=0.002 n=6,0.00022408200000000001,8%,+99.25%,p=0.002 n=6,0.0001817265,2%,+61.59%,p=0.002 n=6
Append/size=1000000_subset=1000-10,0.000225175,7%,0.0016541190000000001,6%,+634.59%,p=0.002 n=6,0.00039826600000000004,2%,+76.87%,p=0.002 n=6,0.00035551100000000003,2%,+57.88%,p=0.002 n=6
Append/size=10_subset=5000-10,2.5895000000000004e-06,1%,2.5595000000000002e-06,3%,~,p=0.093 n=6,2.1055e-06,12%,-18.69%,p=0.002 n=6,2.3230000000000005e-06,1%,-10.29%,p=0.002 n=6
Append/size=50_subset=5000-10,2.583e-06,1%,2.5575000000000005e-06,1%,-0.99%,p=0.009 n=6,2.1000000000000002e-06,2%,-18.70%,p=0.002 n=6,2.3345000000000003e-06,2%,-9.62%,p=0.002 n=6
Append/size=100_subset=5000-10,2.6150000000000004e-06,1%,2.609e-06,11%,~,p=0.331 n=6,2.086e-06,12%,-20.23%,p=0.002 n=6,2.3225e-06,1%,-11.19%,p=0.002 n=6
Append/size=500_subset=5000-10,2.6405000000000004e-06,1%,2.694e-06,10%,+2.03%,p=0.004 n=6,2.4175e-06,12%,~,p=0.065 n=6,2.708e-06,1%,+2.56%,p=0.002 n=6
Append/size=1000_subset=5000-10,2.7405000000000003e-06,10%,2.8655e-06,8%,+4.56%,p=0.026 n=6,2.5855e-06,8%,~,p=0.240 n=6,2.7990000000000002e-06,1%,~,p=0.065 n=6
Append/size=5000_subset=5000-10,3.892e-06,12%,1.268e-05,6%,+225.80%,p=0.002 n=6,4.7715e-06,4%,+22.60%,p=0.002 n=6,4.9999999999999996e-06,0%,+28.47%,p=0.002 n=6
Append/size=10000_subset=5000-10,5.215e-06,1%,2.0450500000000004e-05,1%,+292.15%,p=0.002 n=6,7.672500000000002e-06,1%,+47.12%,p=0.002 n=6,7.963e-06,1%,+52.69%,p=0.002 n=6
Append/size=50000_subset=5000-10,1.68565e-05,1%,9.514050000000001e-05,9%,+464.41%,p=0.002 n=6,2.8084000000000004e-05,5%,+66.61%,p=0.002 n=6,2.8351e-05,1%,+68.19%,p=0.002 n=6
Append/size=100000_subset=5000-10,2.8631500000000002e-05,3%,0.00020380700000000002,2%,+611.83%,p=0.002 n=6,6.217000000000001e-05,8%,+117.14%,p=0.002 n=6,6.273150000000001e-05,2%,+119.10%,p=0.002 n=6
Append/size=500000_subset=5000-10,0.00011678400000000001,10%,0.001041671,2%,+791.96%,p=0.002 n=6,0.00022395950000000004,3%,+91.77%,p=0.002 n=6,0.0001834445,1%,+57.08%,p=0.002 n=6
Append/size=1000000_subset=5000-10,0.00022997150000000002,10%,0.001826752,6%,+694.34%,p=0.002 n=6,0.0004167675,2%,+81.23%,p=0.002 n=6,0.0003580915,2%,+55.71%,p=0.002 n=6
Append/size=10_subset=10000-10,4.228e-06,11%,4.2145e-06,15%,~,p=0.604 n=6,3.8280000000000004e-06,15%,-9.46%,p=0.037 n=6,4.222500000000001e-06,1%,~,p=0.725 n=6
Append/size=50_subset=10000-10,4.2000000000000004e-06,1%,4.205500000000001e-06,1%,~,p=0.619 n=6,3.5205000000000004e-06,20%,-16.18%,p=0.026 n=6,4.2275e-06,1%,~,p=0.180 n=6
Append/size=100_subset=10000-10,4.223e-06,16%,4.2375000000000005e-06,12%,~,p=0.818 n=6,3.5415e-06,8%,-16.14%,p=0.002 n=6,4.2265e-06,17%,~,p=0.699 n=6
Append/size=500_subset=10000-10,4.278e-06,9%,4.346e-06,1%,~,p=0.485 n=6,4.159500000000001e-06,9%,~,p=0.180 n=6,4.5165e-06,1%,~,p=0.169 n=6
Append/size=1000_subset=10000-10,4.3235e-06,0%,4.4725e-06,1%,+3.45%,p=0.002 n=6,4.0275e-06,10%,~,p=0.368 n=6,4.672500000000001e-06,9%,+8.07%,p=0.002 n=6
Append/size=5000_subset=10000-10,5.4130000000000005e-06,1%,1.2595500000000002e-05,1%,+132.69%,p=0.002 n=6,6.508e-06,1%,+20.23%,p=0.002 n=6,7.061000000000001e-06,0%,+30.45%,p=0.002 n=6
Append/size=10000_subset=10000-10,6.953000000000001e-06,2%,2.2267000000000002e-05,1%,+220.25%,p=0.002 n=6,9.5395e-06,1%,+37.20%,p=0.002 n=6,9.973500000000002e-06,0%,+43.44%,p=0.002 n=6
Append/size=50000_subset=10000-10,1.844e-05,3%,0.00011478900000000002,1%,+522.50%,p=0.002 n=6,3.10805e-05,4%,+68.55%,p=0.002 n=6,3.1931e-05,6%,+73.16%,p=0.002 n=6
Append/size=100000_subset=10000-10,2.95565e-05,9%,0.00021321400000000004,20%,+621.38%,p=0.002 n=6,6.239450000000001e-05,2%,+111.10%,p=0.002 n=6,6.80635e-05,3%,+130.28%,p=0.002 n=6
Append/size=500000_subset=10000-10,0.00011176600000000001,15%,0.0011559690000000002,3%,+934.28%,p=0.002 n=6,0.00023065500000000002,2%,+106.37%,p=0.002 n=6,0.000182456,2%,+63.25%,p=0.002 n=6
Append/size=1000000_subset=10000-10,0.0002298245,10%,0.001891612,5%,+723.07%,p=0.002 n=6,0.0004160235,3%,+81.02%,p=0.002 n=6,0.000359981,3%,+56.63%,p=0.002 n=6
Append/size=10_subset=50000-10,1.82925e-05,2%,1.8843000000000002e-05,8%,~,p=0.240 n=6,1.4921500000000001e-05,8%,-18.43%,p=0.002 n=6,1.80595e-05,5%,~,p=0.180 n=6
Append/size=50_subset=50000-10,1.81375e-05,5%,1.7705500000000002e-05,1%,~,p=0.093 n=6,1.4993e-05,1%,-17.34%,p=0.002 n=6,1.91005e-05,1%,+5.31%,p=0.002 n=6
Append/size=100_subset=50000-10,1.8467500000000002e-05,4%,1.7958e-05,1%,~,p=0.065 n=6,1.4963e-05,2%,-18.98%,p=0.002 n=6,1.9186000000000002e-05,3%,+3.89%,p=0.015 n=6
Append/size=500_subset=50000-10,1.7935000000000004e-05,3%,1.824e-05,3%,+1.70%,p=0.026 n=6,1.5118500000000001e-05,2%,-15.70%,p=0.002 n=6,1.93755e-05,2%,+8.03%,p=0.002 n=6
Append/size=1000_subset=50000-10,1.8257e-05,1%,1.7863500000000003e-05,2%,-2.16%,p=0.004 n=6,1.5110000000000001e-05,6%,-17.24%,p=0.002 n=6,2.0175000000000003e-05,1%,+10.51%,p=0.002 n=6
Append/size=5000_subset=50000-10,1.8373000000000002e-05,2%,1.9520000000000003e-05,1%,+6.24%,p=0.002 n=6,1.7107500000000002e-05,1%,-6.89%,p=0.002 n=6,2.1896000000000002e-05,1%,+19.17%,p=0.002 n=6
Append/size=10000_subset=50000-10,1.9291500000000003e-05,2%,2.1444e-05,3%,+11.16%,p=0.002 n=6,1.9403000000000004e-05,1%,~,p=0.310 n=6,2.5976000000000003e-05,2%,+34.65%,p=0.002 n=6
Append/size=50000_subset=50000-10,2.9894000000000002e-05,4%,9.88725e-05,2%,+230.74%,p=0.002 n=6,4.55545e-05,5%,+52.39%,p=0.002 n=6,6.00175e-05,2%,+100.77%,p=0.002 n=6
Append/size=100000_subset=50000-10,4.43875e-05,4%,0.00020554700000000002,2%,+363.07%,p=0.002 n=6,6.914e-05,3%,+55.76%,p=0.002 n=6,8.107250000000001e-05,2%,+82.65%,p=0.002 n=6
Append/size=500000_subset=50000-10,0.00013428099999999998,9%,0.0010420210000000002,6%,+676.00%,p=0.002 n=6,0.0002407385,3%,+79.28%,p=0.002 n=6,0.0001919505,4%,+42.95%,p=0.002 n=6
Append/size=1000000_subset=50000-10,0.00024098350000000001,8%,0.0018575465,1%,+670.82%,p=0.002 n=6,0.0004279295,2%,+77.58%,p=0.002 n=6,0.00036463800000000003,12%,+51.31%,p=0.002 n=6
Append/size=10_subset=100000-10,3.2819500000000007e-05,9%,3.16855e-05,29%,~,p=0.818 n=6,2.7266000000000003e-05,5%,-16.92%,p=0.002 n=6,4.126600000000001e-05,4%,+25.74%,p=0.002 n=6
Append/size=50_subset=100000-10,3.0641e-05,2%,3.0967000000000004e-05,4%,~,p=0.310 n=6,2.9387500000000003e-05,2%,-4.09%,p=0.002 n=6,3.95175e-05,4%,+28.97%,p=0.002 n=6
Append/size=100_subset=100000-10,3.06295e-05,4%,3.1749500000000005e-05,2%,+3.66%,p=0.041 n=6,2.7064500000000005e-05,3%,-11.64%,p=0.002 n=6,3.9446e-05,4%,+28.78%,p=0.002 n=6
Append/size=500_subset=100000-10,3.0510000000000004e-05,4%,3.15985e-05,4%,+3.57%,p=0.015 n=6,2.7718e-05,2%,-9.15%,p=0.002 n=6,3.959700000000001e-05,3%,+29.78%,p=0.002 n=6
