goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
,BenchmarkAppend-expand.txt,,BenchmarkAppend-for.txt,,,,BenchmarkAppend-for_index.txt,,,,BenchmarkAppend-for_prealloc.txt,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Append/size=1000_subset=100-10,1,0%,4,0%,+300.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=5000_subset=100-10,1,0%,8,0%,+700.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=10000_subset=100-10,1,0%,11,0%,+1000.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=50000_subset=100-10,1,0%,17,0%,+1600.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=100000_subset=100-10,1,0%,20,0%,+1900.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=500000_subset=100-10,1,0%,27,0%,+2600.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=1000000_subset=100-10,1,0%,30,0%,+2900.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=10_subset=500-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=50_subset=500-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=100_subset=500-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=500_subset=500-10,1,0%,2,0%,+100.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=1000_subset=500-10,1,0%,3,0%,+200.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=5000_subset=500-10,1,0%,7,0%,+600.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=10000_subset=500-10,1,0%,9,0%,+800.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=50000_subset=500-10,1,0%,15,0%,+1400.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=100000_subset=500-10,1,0%,18,0%,+1700.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=500000_subset=500-10,1,0%,25,0%,+2400.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=1000000_subset=500-10,1,0%,28,0%,+2700.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=10_subset=1000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=50_subset=1000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=100_subset=1000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=500_subset=1000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=1000_subset=1000-10,1,0%,2,0%,+100.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=5000_subset=1000-10,1,0%,5,0%,+400.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=10000_subset=1000-10,1,0%,7,0%,+600.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=50000_subset=1000-10,1,0%,14,0%,+1300.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=100000_subset=1000-10,1,0%,17,0%,+1600.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=500000_subset=1000-10,1,0%,24,0%,+2300.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=1000000_subset=1000-10,1,0%,27,0%,+2600.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=10_subset=5000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=50_subset=5000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=100_subset=5000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=500_subset=5000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=1000_subset=5000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=5000_subset=5000-10,1,0%,3,0%,+200.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=10000_subset=5000-10,1,0%,4,0%,+300.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=50000_subset=5000-10,1,0%,9,0%,+800.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=100000_subset=5000-10,1,0%,12,0%,+1100.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=500000_subset=5000-10,1,0%,19,0%,+1800.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=1000000_subset=5000-10,1,0%,22,0%,+2100.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=10_subset=10000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=50_subset=10000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=100_subset=10000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=500_subset=10000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=1000_subset=10000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=5000_subset=10000-10,1,0%,2,0%,+100.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=10000_subset=10000-10,1,0%,3,0%,+200.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=50000_subset=10000-10,1,0%,8,0%,+700.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=100000_subset=10000-10,1,0%,10,0%,+900.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=500000_subset=10000-10,1,0%,17,0%,+1600.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=1000000_subset=10000-10,1,0%,20,0%,+1900.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=10_subset=50000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=50_subset=50000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=100_subset=50000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=500_subset=50000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=1000_subset=50000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=5000_subset=50000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=10000_subset=50000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=50000_subset=50000-10,1,0%,3,0%,+200.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=100000_subset=50000-10,1,0%,5,0%,+400.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=500000_subset=50000-10,1,0%,11,0%,+1000.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=1000000_subset=50000-10,1,0%,14,0%,+1300.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=10_subset=100000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=50_subset=100000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=100_subset=100000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=500_subset=100000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=1000_subset=100000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=5000_subset=100000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=10000_subset=100000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=50000_subset=100000-10,1,0%,2,0%,+100.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=100000_subset=100000-10,1,0%,4,0%,+300.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=500000_subset=100000-10,1,0%,8,0%,+700.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=1000000_subset=100000-10,1,0%,11,0%,+1000.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=10_subset=500000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=50_subset=500000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=100_subset=500000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=500_subset=500000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=1000_subset=500000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=5000_subset=500000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=10000_subset=500000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=50000_subset=500000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=100000_subset=500000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=500000_subset=500000-10,1,0%,4,0%,+300.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=1000000_subset=500000-10,1,0%,5,0%,+400.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=10_subset=1000000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=50_subset=1000000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=100_subset=1000000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=500_subset=1000000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=1000_subset=1000000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=5000_subset=1000000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=10000_subset=1000000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=50000_subset=1000000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=100000_subset=1000000-10,1,0%,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=500000_subset=1000000-10,1,0%,2,0%,+100.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
Append/size=1000000_subset=1000000-10,1,0%,4,0%,+300.00%,p=0.002 n=6,1,0%,~,p=1.000 n=6,1,0%,~,p=1.000 n=6
geomean,1,,3.279484598577207,,+227.95%,,1,,+0.00%,,1,,+0.00%,
