goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkNeedleInAHaystack/size=100_iterations=500-10       	    9705	     11481 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=500-10       	   10000	     11402 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=500-10       	   10000	     11382 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=500-10       	   10611	     11382 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=1000-10      	    5412	     24700 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=1000-10      	    5599	     23063 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=1000-10      	    5870	     22144 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=1000-10      	    4563	     22864 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=1000-10      	    5697	     22285 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=1000-10      	    5821	     22812 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=10-10        	  104200	      1117 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=10-10        	  105726	      1180 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=10-10        	  105854	      1127 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=10-10        	  102867	      1177 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=10-10        	  105831	      1129 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=10-10        	  106572	      1166 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=50-10        	   19966	      5732 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=50-10        	   21802	      5579 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=50-10        	   20204	      5806 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=50-10        	   22045	      5584 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=50-10        	   19996	      6019 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=50-10        	   21952	      5433 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=100-10       	   10000	     11028 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=100-10       	   10000	     11025 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=100-10       	   10000	     11031 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=100-10       	   10000	     11040 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=100-10       	   10000	     10905 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=100-10       	   10000	     11114 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=500-10       	    2072	     57085 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=500-10       	    2096	     57727 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=500-10       	    2090	     56773 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=500-10       	    2014	     57347 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=500-10       	    2008	     58649 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=500-10       	    1840	     58088 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=1000-10      	    1110	    107319 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=1000-10      	    1128	    109246 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=1000-10      	    1162	    107747 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=1000-10      	    1129	    106688 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=1000-10      	    1146	    108238 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=1000-10      	    1186	    108526 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=10-10       	   55389	      2122 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=10-10       	   57357	      2107 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=10-10       	   57958	      2100 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=10-10       	   57733	      2117 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=10-10       	   55198	      2223 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=10-10       	   53894	      2282 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=50-10       	   11527	     10479 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=50-10       	   10000	     10502 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=50-10       	   10000	     10461 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=50-10       	   10000	     10723 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=50-10       	   10000	     10500 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=50-10       	   10000	     10379 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=100-10      	    5305	     20918 ns/op	       0 B/op	       0 allocs/op
