goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkNeedleInAHaystack/size=100_iterations=500-10       	   44242	      2711 ns/op	    2344 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=500-10       	   44829	      2785 ns/op	    2344 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=500-10       	   43272	      2779 ns/op	    2344 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=500-10       	   43606	      2768 ns/op	    2344 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=500-10       	   45718	      2769 ns/op	    2344 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=1000-10      	   25221	      4687 ns/op	    2344 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=1000-10      	   25946	      4693 ns/op	    2344 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=1000-10      	   25166	      4686 ns/op	    2344 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=1000-10      	   25206	      4651 ns/op	    2344 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=1000-10      	   25746	      4674 ns/op	    2344 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=1000-10      	   25640	      4673 ns/op	    2344 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=10-10        	   25075	      4807 ns/op	   18472 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=10-10        	   25490	      4688 ns/op	   18472 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=10-10        	   24216	      5215 ns/op	   18472 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=10-10        	   25510	      4723 ns/op	   18472 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=10-10        	   25198	      4764 ns/op	   18472 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=10-10        	   24500	      4843 ns/op	   18472 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=50-10        	   24296	      4929 ns/op	   18472 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=50-10        	   24061	      4860 ns/op	   18472 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=50-10        	   24499	      4929 ns/op	   18472 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=50-10        	   24508	      4894 ns/op	   18472 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=50-10        	   23536	      4935 ns/op	   18472 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=50-10        	   25142	      4872 ns/op	   18472 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=100-10       	   23239	      5139 ns/op	   18472 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=100-10       	   23121	      5219 ns/op	   18472 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=100-10       	   23760	      5049 ns/op	   18472 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=100-10       	   23401	      5099 ns/op	   18472 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=100-10       	   23901	      5105 ns/op	   18472 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=100-10       	   23472	      5103 ns/op	   18472 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=500-10       	   18028	      6632 ns/op	   18472 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=500-10       	   18195	      6531 ns/op	   18472 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=500-10       	   18291	      6673 ns/op	   18472 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=500-10       	   18454	      6573 ns/op	   18472 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=500-10       	   18586	      7822 ns/op	   18472 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=500-10       	   18099	      6712 ns/op	   18472 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=1000-10      	   13914	      8565 ns/op	   18472 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=1000-10      	   14139	      8456 ns/op	   18472 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=1000-10      	   14265	      8408 ns/op	   18472 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=1000-10      	   14440	      8369 ns/op	   18472 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=1000-10      	   13941	      8545 ns/op	   18472 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=500_iterations=1000-10      	   14462	      8302 ns/op	   18472 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=10-10       	   10000	     10441 ns/op	   36944 B/op	       5 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=10-10       	   10000	     10517 ns/op	   36944 B/op	       5 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=10-10       	   11170	     10651 ns/op	   36944 B/op	       5 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=10-10       	   10000	     10284 ns/op	   36944 B/op	       5 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=10-10       	   10000	     10272 ns/op	   36944 B/op	       5 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=10-10       	   10000	     10305 ns/op	   36944 B/op	       5 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=50-10       	   10000	     10427 ns/op	   36944 B/op	       5 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=50-10       	   11534	     10520 ns/op	   36944 B/op	       5 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=50-10       	   10000	     10354 ns/op	   36944 B/op	       5 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=50-10       	   10000	     10557 ns/op	   36944 B/op	       5 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=50-10       	   10000	     10669 ns/op	   36944 B/op	       5 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=50-10       	   10000	     10578 ns/op	   36944 B/op	       5 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=100-10      	    9690	     10786 ns/op	   36944 B/op	       5 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=100-10      	   11151	     10895 ns/op	   36944 B/op	       5 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=100-10      	   10000	     10720 ns/op	   36944 B/op	       5 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=100-10      	   10000	     10951 ns/op	   36944 B/op	       5 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=100-10      	   10000	     10757 ns/op	   36944 B/op	       5 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=100-10      	   10000	     10779 ns/op	   36944 B/op	       5 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=500-10      	    9348	     12295 ns/op	   36944 B/op	       5 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=500-10      	   10000	     12128 ns/op	   36944 B/op	       5 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=500-10      	   10000	     12205 ns/op	   36944 B/op	       5 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=500-10      	   10000	     12498 ns/op	   36944 B/op	       5 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=500-10      	   10000	     12240 ns/op	   36944 B/op	       5 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=500-10      	    9908	     12071 ns/op	   36944 B/op	       5 allocs/op
BenchmarkNeedleInAHaystack/size=1000_iterations=1000-10     	    8364	     14429 ns/op	   36944 B/op	       5 allocs/op
