goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkSubset/size=100_subset=1000-10      	    7587	     15111 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=100_subset=1000-10      	    7888	     15163 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=1000-10      	    1879	     64381 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=1000-10      	    1836	     64823 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=1000-10      	    1875	     64745 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=1000-10      	    1868	     64724 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=1000-10      	    1869	     64391 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=1000-10      	    1836	     64478 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=1000_subset=1000-10     	    1244	     95902 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=1000_subset=1000-10     	    1254	     95881 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=1000_subset=1000-10     	    1256	     95703 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=1000_subset=1000-10     	    1230	     96322 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=1000_subset=1000-10     	    1249	     96086 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=1000_subset=1000-10     	    1255	     96151 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=5000_subset=1000-10     	     249	    477898 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=5000_subset=1000-10     	     249	    479236 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=5000_subset=1000-10     	     249	    478380 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=5000_subset=1000-10     	     250	    477826 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=5000_subset=1000-10     	     250	    478669 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=5000_subset=1000-10     	     250	    478046 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10000_subset=1000-10    	     126	    944090 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10000_subset=1000-10    	     126	    947534 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10000_subset=1000-10    	     126	    943448 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10000_subset=1000-10    	     126	    942950 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10000_subset=1000-10    	     126	    945626 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10000_subset=1000-10    	     126	    943937 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=5000-10       	   14409	      8328 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=5000-10       	   14391	      8341 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=5000-10       	   14408	      8323 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=5000-10       	   14424	      8323 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=5000-10       	   14426	      8313 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=5000-10       	   14433	      8313 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=5000-10       	    2846	     41713 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=5000-10       	    2905	     41712 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=5000-10       	    2892	     41697 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=5000-10       	    2887	     41681 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=5000-10       	    2860	     41729 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=5000-10       	    2914	     41697 ns/op	       0 B/op	       0 allocs/op
