goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkSubset/size=50_subset=100-10        	   77990	      1547 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=50_subset=100-10        	   78178	      1549 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=50_subset=100-10        	   72493	      1569 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=50_subset=100-10        	   76748	      1564 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=50_subset=100-10        	   76666	      1561 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=100_subset=100-10       	   70603	      1700 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=100_subset=100-10       	   70524	      1706 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=100_subset=100-10       	   69600	      1707 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=100_subset=100-10       	   71002	      1697 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=100_subset=100-10       	   70749	      1702 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=100_subset=100-10       	   71206	      1702 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=500_subset=100-10       	   40477	      3009 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=500_subset=100-10       	   37944	      3117 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=500_subset=100-10       	   40102	      3050 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=500_subset=100-10       	   39512	      3001 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=500_subset=100-10       	   40525	      2957 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=500_subset=100-10       	   40792	      2956 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=1000_subset=100-10      	   26023	      4589 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=1000_subset=100-10      	   26103	      4590 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=1000_subset=100-10      	   26100	      4630 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=1000_subset=100-10      	   26114	      4595 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=1000_subset=100-10      	   26145	      4593 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=1000_subset=100-10      	   26038	      4596 ns/op	    4688 B/op	       6 allocs/op
