goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkStringByteConversion/size=4096_iterations=10-10      	    9837	     12079 ns/op	   40960 B/op	      10 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=10-10      	   10000	     12043 ns/op	   40960 B/op	      10 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=100-10     	     999	    120419 ns/op	  409601 B/op	     100 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=100-10     	    1011	    120161 ns/op	  409601 B/op	     100 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=100-10     	     999	    120482 ns/op	  409601 B/op	     100 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=100-10     	    1006	    124903 ns/op	  409601 B/op	     100 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=100-10     	     981	    121577 ns/op	  409601 B/op	     100 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=100-10     	     987	    120461 ns/op	  409602 B/op	     100 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1000-10    	      90	   1215073 ns/op	 4096007 B/op	    1000 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1000-10    	      99	   1206927 ns/op	 4096012 B/op	    1000 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1000-10    	     100	   1212953 ns/op	 4096014 B/op	    1000 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1000-10    	     100	   1206935 ns/op	 4096016 B/op	    1000 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1000-10    	     100	   1210459 ns/op	 4096022 B/op	    1000 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1000-10    	      97	   1208638 ns/op	 4096013 B/op	    1000 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1-10      	   24985	      4788 ns/op	   16384 B/op	       1 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1-10      	   24964	      4801 ns/op	   16384 B/op	       1 allocs/op
