goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
,BenchmarkStringByteConversion-bytes_direct.txt,,BenchmarkStringByteConversion-bytes_to_string.txt,,,,BenchmarkStringByteConversion-string_direct.txt,,,,BenchmarkStringByteConversion-string_to_bytes.txt,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P,sec/op,CI,vs base,P
StringByteConversion/size=64_iterations=10-10,0,0%,10,0%,?,p=0.002 n=6,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
StringByteConversion/size=64_iterations=100-10,0,0%,100,0%,?,p=0.002 n=6,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
StringByteConversion/size=64_iterations=1000-10,0,0%,1000,0%,?,p=0.002 n=6,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
StringByteConversion/size=256_iterations=1-10,0,0%,1,0%,?,p=0.002 n=6,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
StringByteConversion/size=256_iterations=10-10,0,0%,10,0%,?,p=0.002 n=6,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
StringByteConversion/size=256_iterations=100-10,0,0%,100,0%,?,p=0.002 n=6,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
StringByteConversion/size=256_iterations=1000-10,0,0%,1000,0%,?,p=0.002 n=6,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
StringByteConversion/size=1024_iterations=1-10,0,0%,1,0%,?,p=0.002 n=6,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
StringByteConversion/size=1024_iterations=10-10,0,0%,10,0%,?,p=0.002 n=6,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
StringByteConversion/size=1024_iterations=100-10,0,0%,100,0%,?,p=0.002 n=6,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
StringByteConversion/size=1024_iterations=1000-10,0,0%,1000,0%,?,p=0.002 n=6,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
StringByteConversion/size=4096_iterations=1-10,0,0%,1,0%,?,p=0.002 n=6,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
StringByteConversion/size=4096_iterations=10-10,0,0%,10,0%,?,p=0.002 n=6,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
StringByteConversion/size=4096_iterations=100-10,0,0%,100,0%,?,p=0.002 n=6,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
StringByteConversion/size=4096_iterations=1000-10,0,0%,1000,0%,?,p=0.002 n=6,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
StringByteConversion/size=16384_iterations=1-10,0,0%,1,0%,?,p=0.002 n=6,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
StringByteConversion/size=16384_iterations=10-10,0,0%,10,0%,?,p=0.002 n=6,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
StringByteConversion/size=16384_iterations=100-10,0,0%,100,0%,?,p=0.002 n=6,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
StringByteConversion/size=16384_iterations=1000-10,0,0%,1000,0%,?,p=0.002 n=6,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
StringByteConversion/size=65536_iterations=1-10,0,0%,1,0%,?,p=0.002 n=6,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
StringByteConversion/size=65536_iterations=10-10,0,0%,10,0%,?,p=0.002 n=6,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
StringByteConversion/size=65536_iterations=100-10,0,0%,100,0%,?,p=0.002 n=6,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
StringByteConversion/size=65536_iterations=1000-10,0,0%,1001,0%,?,p=0.002 n=6,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
geomean,,,,,?,,,,+0.00%,,,,+0.00%,
