goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
,assets/BenchmarkConcat-builder.txt,,assets/BenchmarkConcat-builder_pool.txt,,,,assets/BenchmarkConcat-join.txt,,,,assets/BenchmarkConcat-plus.txt,,,,assets/BenchmarkConcat-sprintf.txt,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P,sec/op,CI,vs base,P,sec/op,CI,vs base,P

,assets/BenchmarkConcat-builder.txt,,assets/BenchmarkConcat-builder_pool.txt,,,,assets/BenchmarkConcat-join.txt,,,,assets/BenchmarkConcat-plus.txt,,,,assets/BenchmarkConcat-sprintf.txt,,,
,B/op,CI,B/op,CI,vs base,P,B/op,CI,vs base,P,B/op,CI,vs base,P,B/op,CI,vs base,P
Concat/size=10_iterations=10-10,496,0%,496,0%,~,p=1.000 n=10,800,0%,+61.29%,p=0.000 n=10,1544,0%,+211.29%,p=0.000 n=10,1104,0%,+122.58%,p=0.000 n=10
Concat/size=10_iterations=50-10,1904,0%,1904,0%,~,p=1.000 n=10,17360,0%,+811.76%,p=0.000 n=10,34616,0%,+1718.07%,p=0.000 n=10,18957,0%,+895.64%,p=0.000 n=10
Concat/size=10_iterations=100-10,3312,0%,3313,0%,+0.03%,p=0.000 n=10,69456,0%,+1997.10%,p=0.000 n=10,138553,0%,+4083.36%,p=0.000 n=10,72708,0%,+2095.29%,p=0.000 n=10
Concat/size=10_iterations=500-10,24816,0%,24826,0%,+0.04%,p=0.000 n=10,1.731678e+06,0%,+6878.07%,p=0.000 n=10,3.461716e+06,0%,+13849.53%,p=0.000 n=10,1.751602e+06,0%,+6958.36%,p=0.000 n=10
Concat/size=10_iterations=1000-10,62960,0%,62988.5,0%,+0.05%,p=0.000 n=10,6.8947255e+06,0%,+10850.96%,p=0.000 n=10,1.3786301e+07,0%,+21796.92%,p=0.000 n=10,6.9517145e+06,0%,+10941.48%,p=0.000 n=10
Concat/size=10_iterations=5000-10,285425,0%,285558.5,0%,+0.05%,p=0.000 n=10,1.75056413e+08,0%,+61231.84%,p=0.000 n=10,3.500884205e+08,0%,+122555.14%,p=0.000 n=10,1.759443975e+08,0%,+61542.95%,p=0.000 n=10
Concat/size=50_iterations=10-10,2528,0%,2529,0%,+0.04%,p=0.000 n=10,5344,0%,+111.39%,p=0.000 n=10,10560,0%,+317.72%,p=0.000 n=10,5652,0%,+123.58%,p=0.000 n=10
Concat/size=50_iterations=50-10,16480,0%,16487,0%,+0.04%,p=0.000 n=10,129440.5,0%,+685.44%,p=0.000 n=10,258786,0%,+1470.30%,p=0.000 n=10,131277.5,0%,+696.59%,p=0.000 n=10
Concat/size=50_iterations=100-10,32864,0%,32880,0%,+0.05%,p=0.000 n=10,496420,0%,+1410.53%,p=0.000 n=10,992743,0%,+2920.76%,p=0.000 n=10,501094.5,0%,+1424.75%,p=0.000 n=10
