goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
,BenchmarkSubset-map.txt,,BenchmarkSubset-slice.txt,,,,BenchmarkSubset-slice_sort_binsearch.txt,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Subset/size=500_subset=500-10,36944,0%,0,0%,-100.00%,p=0.002 n=6,8192,0%,-77.83%,p=0.002 n=6
Subset/size=1000_subset=500-10,36944,0%,0,0%,-100.00%,p=0.002 n=6,8192,0%,-77.83%,p=0.002 n=6
Subset/size=5000_subset=500-10,36944,0%,0,0%,-100.00%,p=0.002 n=6,8192,0%,-77.83%,p=0.002 n=6
Subset/size=10000_subset=500-10,36944,0%,0,0%,-100.00%,p=0.002 n=6,8192,0%,-77.83%,p=0.002 n=6
Subset/size=10_subset=1000-10,73888,0%,0,0%,-100.00%,p=0.002 n=6,16384,0%,-77.83%,p=0.002 n=6
Subset/size=50_subset=1000-10,73888,0%,0,0%,-100.00%,p=0.002 n=6,16384,0%,-77.83%,p=0.002 n=6
Subset/size=100_subset=1000-10,73888,0%,0,0%,-100.00%,p=0.002 n=6,16384,0%,-77.83%,p=0.002 n=6
Subset/size=500_subset=1000-10,73888,0%,0,0%,-100.00%,p=0.002 n=6,16384,0%,-77.83%,p=0.002 n=6
Subset/size=1000_subset=1000-10,73888,0%,0,0%,-100.00%,p=0.002 n=6,16384,0%,-77.83%,p=0.002 n=6
Subset/size=5000_subset=1000-10,73888,0%,0,0%,-100.00%,p=0.002 n=6,16384,0%,-77.83%,p=0.002 n=6
Subset/size=10000_subset=1000-10,73888,0%,0,0%,-100.00%,p=0.002 n=6,16384,0%,-77.83%,p=0.002 n=6
Subset/size=10_subset=5000-10,295552,0%,0,0%,-100.00%,p=0.002 n=6,81920,0%,-72.28%,p=0.002 n=6
Subset/size=50_subset=5000-10,295552,0%,0,0%,-100.00%,p=0.002 n=6,81920,0%,-72.28%,p=0.002 n=6
Subset/size=100_subset=5000-10,295552,0%,0,0%,-100.00%,p=0.002 n=6,81920,0%,-72.28%,p=0.002 n=6
Subset/size=500_subset=5000-10,295552,0%,0,0%,-100.00%,p=0.002 n=6,81920,0%,-72.28%,p=0.002 n=6
Subset/size=1000_subset=5000-10,295552,0%,0,0%,-100.00%,p=0.002 n=6,81920,0%,-72.28%,p=0.002 n=6
Subset/size=5000_subset=5000-10,295552,0%,0,0%,-100.00%,p=0.002 n=6,81920,0%,-72.28%,p=0.002 n=6
Subset/size=10000_subset=5000-10,295552,0%,0,0%,-100.00%,p=0.002 n=6,81920,0%,-72.28%,p=0.002 n=6
Subset/size=10_subset=10000-10,591105,0%,0,0%,-100.00%,p=0.002 n=6,163840,0%,-72.28%,p=0.002 n=6
Subset/size=50_subset=10000-10,591105,0%,0,0%,-100.00%,p=0.002 n=6,163840,0%,-72.28%,p=0.002 n=6
Subset/size=100_subset=10000-10,591105.5,0%,0,0%,-100.00%,p=0.002 n=6,163840,0%,-72.28%,p=0.002 n=6
Subset/size=500_subset=10000-10,591105,0%,0,0%,-100.00%,p=0.002 n=6,163840,0%,-72.28%,p=0.002 n=6
Subset/size=1000_subset=10000-10,591105,0%,0,0%,-100.00%,p=0.002 n=6,163840,0%,-72.28%,p=0.002 n=6
Subset/size=5000_subset=10000-10,591105,0%,0,0%,-100.00%,p=0.002 n=6,163840,0%,-72.28%,p=0.002 n=6
Subset/size=10000_subset=10000-10,591104.5,0%,0,0%,-100.00%,p=0.002 n=6,163840,0%,-72.28%,p=0.002 n=6
geomean,23087.315430814368,,,,?,,6378.859131475174,,-72.37%,

,BenchmarkSubset-map.txt,,BenchmarkSubset-slice.txt,,,,BenchmarkSubset-slice_sort_binsearch.txt,,,
,allocs/op,CI,allocs/op,CI,vs base,P,allocs/op,CI,vs base,P
Subset/size=10_subset=10-10,6,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-66.67%,p=0.002 n=6
Subset/size=50_subset=10-10,6,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-66.67%,p=0.002 n=6
Subset/size=100_subset=10-10,6,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-66.67%,p=0.002 n=6
Subset/size=500_subset=10-10,6,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-66.67%,p=0.002 n=6
Subset/size=1000_subset=10-10,6,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-66.67%,p=0.002 n=6
Subset/size=5000_subset=10-10,6,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-66.67%,p=0.002 n=6
Subset/size=10000_subset=10-10,6,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-66.67%,p=0.002 n=6
Subset/size=10_subset=50-10,6,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-66.67%,p=0.002 n=6
Subset/size=50_subset=50-10,6,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-66.67%,p=0.002 n=6
Subset/size=100_subset=50-10,6,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-66.67%,p=0.002 n=6
Subset/size=500_subset=50-10,6,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-66.67%,p=0.002 n=6
Subset/size=1000_subset=50-10,6,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-66.67%,p=0.002 n=6
Subset/size=5000_subset=50-10,6,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-66.67%,p=0.002 n=6
Subset/size=10000_subset=50-10,6,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-66.67%,p=0.002 n=6
Subset/size=10_subset=100-10,6,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-66.67%,p=0.002 n=6
Subset/size=50_subset=100-10,6,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-66.67%,p=0.002 n=6
Subset/size=100_subset=100-10,6,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-66.67%,p=0.002 n=6
Subset/size=500_subset=100-10,6,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-66.67%,p=0.002 n=6
Subset/size=1000_subset=100-10,6,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-66.67%,p=0.002 n=6
Subset/size=5000_subset=100-10,6,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-66.67%,p=0.002 n=6
Subset/size=10000_subset=100-10,6,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-66.67%,p=0.002 n=6
Subset/size=10_subset=500-10,6,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-66.67%,p=0.002 n=6
Subset/size=50_subset=500-10,6,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-66.67%,p=0.002 n=6
Subset/size=100_subset=500-10,6,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-66.67%,p=0.002 n=6
Subset/size=500_subset=500-10,6,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-66.67%,p=0.002 n=6
Subset/size=1000_subset=500-10,6,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-66.67%,p=0.002 n=6
Subset/size=5000_subset=500-10,6,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-66.67%,p=0.002 n=6
Subset/size=10000_subset=500-10,6,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-66.67%,p=0.002 n=6
Subset/size=10_subset=1000-10,10,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-80.00%,p=0.002 n=6
Subset/size=50_subset=1000-10,10,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-80.00%,p=0.002 n=6
Subset/size=100_subset=1000-10,10,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-80.00%,p=0.002 n=6
Subset/size=500_subset=1000-10,10,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-80.00%,p=0.002 n=6
Subset/size=1000_subset=1000-10,10,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-80.00%,p=0.002 n=6
Subset/size=5000_subset=1000-10,10,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-80.00%,p=0.002 n=6
Subset/size=10000_subset=1000-10,10,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-80.00%,p=0.002 n=6
Subset/size=10_subset=5000-10,34,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-94.12%,p=0.002 n=6
Subset/size=50_subset=5000-10,34,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-94.12%,p=0.002 n=6
Subset/size=100_subset=5000-10,34,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-94.12%,p=0.002 n=6
Subset/size=500_subset=5000-10,34,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-94.12%,p=0.002 n=6
Subset/size=1000_subset=5000-10,34,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-94.12%,p=0.002 n=6
Subset/size=5000_subset=5000-10,34,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-94.12%,p=0.002 n=6
Subset/size=10000_subset=5000-10,34,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-94.12%,p=0.002 n=6
Subset/size=10_subset=10000-10,66,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-96.97%,p=0.002 n=6
Subset/size=50_subset=10000-10,66,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-96.97%,p=0.002 n=6
Subset/size=100_subset=10000-10,66,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-96.97%,p=0.002 n=6
Subset/size=500_subset=10000-10,66,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-96.97%,p=0.002 n=6
Subset/size=1000_subset=10000-10,66,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-96.97%,p=0.002 n=6
Subset/size=5000_subset=10000-10,66,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-96.97%,p=0.002 n=6
Subset/size=10000_subset=10000-10,66,0%,0,0%,-100.00%,p=0.002 n=6,2,0%,-96.97%,p=0.002 n=6
geomean,11.647495480083922,,,,?,,2,,-82.83%,
