goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkAppend/size=100_subset=100-10       	  912459	       142.5 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=100-10       	  800556	       142.7 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=100-10       	  309417	       387.7 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=100-10       	  318975	       391.0 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=100-10       	  307491	       390.3 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=100-10       	  324784	       388.8 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=100-10       	  299934	       388.1 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=100-10       	  298742	       385.7 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=100-10      	  172996	       700.1 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=100-10      	  176583	       696.9 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=100-10      	  169016	       705.7 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=100-10      	  173894	       700.5 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=100-10      	  172448	       704.0 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=100-10      	  170623	       696.1 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=100-10      	   39594	      3024 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=100-10      	   39076	      3061 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=100-10      	   39181	      3049 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=100-10      	   39451	      3068 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=100-10      	   39298	      3046 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=100-10      	   39618	      3050 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=100-10     	   20396	      5878 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=100-10     	   20419	      5881 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=100-10     	   20445	      5847 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=100-10     	   20500	      5875 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=100-10     	   20416	      5878 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=100-10     	   20407	      5879 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=100-10     	    4192	     26272 ns/op	  401408 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=100-10     	    4719	     26379 ns/op	  401409 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=100-10     	    4618	     26296 ns/op	  401409 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=100-10     	    4291	     26462 ns/op	  401410 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=100-10     	    4704	     26136 ns/op	  401409 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=100-10     	    4696	     26689 ns/op	  401409 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=100-10    	    1927	     62961 ns/op	  802828 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=100-10    	    1951	     62342 ns/op	  802828 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=100-10    	    2013	     62449 ns/op	  802828 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=100-10    	    1993	     63964 ns/op	  802828 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=100-10    	    1890	     64371 ns/op	  802826 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=100-10    	    1983	     63912 ns/op	  802828 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=100-10    	     662	    178776 ns/op	 4005890 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=100-10    	     678	    178323 ns/op	 4005889 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=100-10    	     674	    180565 ns/op	 4005889 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=100-10    	     640	    182086 ns/op	 4005890 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=100-10    	     627	    182749 ns/op	 4005891 B/op	       1 allocs/op
