goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkBuildSlice/size=128_length=500-10      	   13790	      8742 ns/op	   65560 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=500-10      	   13404	      8991 ns/op	   65560 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=1000-10     	    7305	     17150 ns/op	  131096 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=1000-10     	    7641	     16978 ns/op	  131096 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=1000-10     	    6982	     17230 ns/op	  131096 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=1000-10     	    7280	     17234 ns/op	  131096 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=1000-10     	    7020	     17647 ns/op	  131096 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=1000-10     	    6703	     17548 ns/op	  131096 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=5000-10     	    1339	     93912 ns/op	  647192 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=5000-10     	    1212	     96726 ns/op	  647193 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=5000-10     	    1201	     98733 ns/op	  647193 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=5000-10     	    1218	     99061 ns/op	  647194 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=5000-10     	    1221	     94467 ns/op	  647193 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=5000-10     	    1267	     98129 ns/op	  647193 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=10000-10    	     642	    182373 ns/op	 1286172 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=10000-10    	     724	    171969 ns/op	 1286169 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=10000-10    	     681	    168562 ns/op	 1286169 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=10000-10    	     679	    170587 ns/op	 1286170 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=10000-10    	     740	    168341 ns/op	 1286170 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=10000-10    	     740	    171697 ns/op	 1286170 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=50000-10    	     163	    729903 ns/op	 6406169 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=50000-10    	     166	    712639 ns/op	 6406171 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=50000-10    	     168	    711523 ns/op	 6406168 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=50000-10    	     169	    707386 ns/op	 6406169 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=50000-10    	     169	    708652 ns/op	 6406168 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=50000-10    	     169	    707625 ns/op	 6406169 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=100000-10   	      75	   1411871 ns/op	12804121 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=100000-10   	      87	   1391168 ns/op	12804121 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=100000-10   	      85	   1395943 ns/op	12804120 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=100000-10   	      86	   1391292 ns/op	12804120 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=100000-10   	      87	   1391810 ns/op	12804120 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=100000-10   	      87	   1393272 ns/op	12804122 B/op	       2 allocs/op
PASS
ok  	github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks	19.870s
