goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkConcat/size=500_iterations=100-10       	    2217	     53166 ns/op	  679817 B/op	      15 allocs/op
BenchmarkConcat/size=500_iterations=100-10       	    2380	     52133 ns/op	  679815 B/op	      15 allocs/op
BenchmarkConcat/size=500_iterations=500-10       	     441	    259565 ns/op	 3235750 B/op	      21 allocs/op
BenchmarkConcat/size=500_iterations=500-10       	     468	    259540 ns/op	 3235746 B/op	      21 allocs/op
BenchmarkConcat/size=500_iterations=500-10       	     457	    262616 ns/op	 3235746 B/op	      21 allocs/op
BenchmarkConcat/size=500_iterations=500-10       	     463	    260661 ns/op	 3235748 B/op	      21 allocs/op
BenchmarkConcat/size=500_iterations=500-10       	     536	    254878 ns/op	 3235741 B/op	      21 allocs/op
BenchmarkConcat/size=500_iterations=500-10       	     471	    246280 ns/op	 3235747 B/op	      21 allocs/op
BenchmarkConcat/size=500_iterations=1000-10      	     250	    469641 ns/op	 6635450 B/op	      24 allocs/op
BenchmarkConcat/size=500_iterations=1000-10      	     252	    458120 ns/op	 6635432 B/op	      24 allocs/op
BenchmarkConcat/size=500_iterations=1000-10      	     250	    463509 ns/op	 6635435 B/op	      24 allocs/op
BenchmarkConcat/size=500_iterations=1000-10      	     276	    445653 ns/op	 6635439 B/op	      24 allocs/op
BenchmarkConcat/size=500_iterations=1000-10      	     252	    462472 ns/op	 6635432 B/op	      24 allocs/op
BenchmarkConcat/size=500_iterations=1000-10      	     262	    462540 ns/op	 6635438 B/op	      24 allocs/op
BenchmarkConcat/size=500_iterations=5000-10      	      52	   2151660 ns/op	41697192 B/op	      32 allocs/op
BenchmarkConcat/size=500_iterations=5000-10      	      54	   2205907 ns/op	41697191 B/op	      32 allocs/op
BenchmarkConcat/size=500_iterations=5000-10      	      56	   2118060 ns/op	41697204 B/op	      32 allocs/op
BenchmarkConcat/size=500_iterations=5000-10      	      57	   2222818 ns/op	41697195 B/op	      32 allocs/op
BenchmarkConcat/size=500_iterations=5000-10      	      49	   2299266 ns/op	41697188 B/op	      32 allocs/op
BenchmarkConcat/size=500_iterations=5000-10      	      46	   2463988 ns/op	41697193 B/op	      32 allocs/op
BenchmarkConcat/size=1000_iterations=10-10       	   10000	     11244 ns/op	  139393 B/op	       8 allocs/op
BenchmarkConcat/size=1000_iterations=10-10       	   10000	     11901 ns/op	  139393 B/op	       8 allocs/op
BenchmarkConcat/size=1000_iterations=10-10       	   10000	     11432 ns/op	  139393 B/op	       8 allocs/op
BenchmarkConcat/size=1000_iterations=10-10       	   10000	     11761 ns/op	  139393 B/op	       8 allocs/op
BenchmarkConcat/size=1000_iterations=10-10       	   10000	     11540 ns/op	  139393 B/op	       8 allocs/op
BenchmarkConcat/size=1000_iterations=10-10       	   10000	     11658 ns/op	  139393 B/op	       8 allocs/op
BenchmarkConcat/size=1000_iterations=50-10       	    3420	     46479 ns/op	  662408 B/op	      12 allocs/op
BenchmarkConcat/size=1000_iterations=50-10       	    2492	     47782 ns/op	  662407 B/op	      12 allocs/op
BenchmarkConcat/size=1000_iterations=50-10       	    2756	     48409 ns/op	  662404 B/op	      12 allocs/op
BenchmarkConcat/size=1000_iterations=50-10       	    2769	     45023 ns/op	  662404 B/op	      12 allocs/op
BenchmarkConcat/size=1000_iterations=50-10       	    3010	     47882 ns/op	  662405 B/op	      12 allocs/op
BenchmarkConcat/size=1000_iterations=50-10       	    3465	     44934 ns/op	  662404 B/op	      12 allocs/op
BenchmarkConcat/size=1000_iterations=100-10      	    1168	     99631 ns/op	 1523848 B/op	      16 allocs/op
BenchmarkConcat/size=1000_iterations=100-10      	    1012	     99718 ns/op	 1523849 B/op	      16 allocs/op
BenchmarkConcat/size=1000_iterations=100-10      	    1221	     99550 ns/op	 1523848 B/op	      16 allocs/op
BenchmarkConcat/size=1000_iterations=100-10      	    1299	    100440 ns/op	 1523848 B/op	      16 allocs/op
BenchmarkConcat/size=1000_iterations=100-10      	    1216	    101325 ns/op	 1523849 B/op	      16 allocs/op
BenchmarkConcat/size=1000_iterations=100-10      	    1455	    111677 ns/op	 1523848 B/op	      16 allocs/op
BenchmarkConcat/size=1000_iterations=500-10      	     234	    522642 ns/op	 8371094 B/op	      22 allocs/op
BenchmarkConcat/size=1000_iterations=500-10      	     226	    519537 ns/op	 8371106 B/op	      22 allocs/op
BenchmarkConcat/size=1000_iterations=500-10      	     242	    498116 ns/op	 8371099 B/op	      22 allocs/op
BenchmarkConcat/size=1000_iterations=500-10      	     229	    527165 ns/op	 8371103 B/op	      22 allocs/op
BenchmarkConcat/size=1000_iterations=500-10      	     220	    511553 ns/op	 8371111 B/op	      22 allocs/op
BenchmarkConcat/size=1000_iterations=500-10      	     237	    516050 ns/op	 8371095 B/op	      22 allocs/op
BenchmarkConcat/size=1000_iterations=1000-10     	     123	    988507 ns/op	16777389 B/op	      26 allocs/op
BenchmarkConcat/size=1000_iterations=1000-10     	     126	    947022 ns/op	16777390 B/op	      26 allocs/op
BenchmarkConcat/size=1000_iterations=1000-10     	     127	    936607 ns/op	16777396 B/op	      26 allocs/op
BenchmarkConcat/size=1000_iterations=1000-10     	     118	    971252 ns/op	16777398 B/op	      26 allocs/op
