goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkStringByteConversion/size=1024_iterations=1-10       	  473372	       263.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1-10       	  472518	       263.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1-10       	  456736	       262.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1-10       	  440595	       262.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1-10       	  457366	       264.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1-10       	  458978	       263.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=10-10      	   45007	      2617 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=10-10      	   42238	      2755 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=10-10      	   44446	      2677 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=10-10      	   41498	      2777 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=10-10      	   44422	      2685 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=10-10      	   44635	      2648 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=100-10     	    4290	     26624 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=100-10     	    4692	     27172 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=100-10     	    4576	     26792 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=100-10     	    4650	     27121 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=100-10     	    4575	     26672 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=100-10     	    4620	     26236 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1000-10    	     452	    266847 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1000-10    	     436	    267915 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1000-10    	     434	    274579 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1000-10    	     439	    269103 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1000-10    	     454	    266461 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1000-10    	     446	    269576 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1-10       	  117180	      1031 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1-10       	  113154	      1044 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1-10       	  109146	      1064 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1-10       	  112428	      1055 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1-10       	  117103	      1011 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1-10       	  118251	      1015 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=10-10      	   10000	     10145 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=10-10      	   10000	     10306 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=10-10      	   10000	     10282 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=10-10      	   10000	     10637 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=10-10      	   10000	     10220 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=10-10      	   10000	     10113 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=100-10     	    1185	    102119 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=100-10     	    1182	    103830 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=100-10     	    1180	    102131 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=100-10     	    1173	    102000 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=100-10     	    1178	    102190 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=100-10     	    1125	    103519 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1000-10    	     100	   1037231 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1000-10    	     100	   1094968 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1000-10    	     100	   1036735 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1000-10    	     100	   1088467 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1000-10    	     108	   1104024 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1000-10    	     100	   1182740 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1-10      	   26596	      4448 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1-10      	   26776	      4484 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1-10      	   27054	      4449 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1-10      	   27478	      4388 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1-10      	   27812	      4329 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1-10      	   26992	      4427 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=10-10     	    2686	     43130 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=10-10     	    3030	     41141 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=10-10     	    3019	     43668 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=10-10     	    2920	     39879 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=10-10     	    2938	     39754 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=10-10     	    3027	     40034 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=100-10    	     296	    402731 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=100-10    	     232	    517249 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=100-10    	     274	    422188 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=100-10    	     294	    418262 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=100-10    	     296	    405069 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=100-10    	     290	    417122 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1000-10   	      28	   4143019 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1000-10   	      28	   4068829 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1000-10   	      26	   4071506 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1000-10   	      30	   4102181 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1000-10   	      30	   4108536 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1000-10   	      28	   4113399 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1-10      	    7434	     16752 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1-10      	    6356	     16480 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1-10      	    7479	     16433 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1-10      	    7545	     16383 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1-10      	    7540	     16326 ns/op	       0 B/op	       0 allocs/op
