goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkBuildSlice/size=128_length=10-10       	  476592	       227.9 ns/op	    1304 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=10-10       	  559461	       226.0 ns/op	    1304 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=10-10       	  553196	       229.7 ns/op	    1304 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=10-10       	  546396	       227.8 ns/op	    1304 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=50-10       	  128281	       942.3 ns/op	    6552 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=50-10       	  127216	       948.0 ns/op	    6552 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=50-10       	  127150	       947.2 ns/op	    6552 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=50-10       	  128670	       961.7 ns/op	    6552 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=50-10       	  123816	       950.5 ns/op	    6552 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=50-10       	  126811	       955.7 ns/op	    6552 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=100-10      	   62257	      1945 ns/op	   13592 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=100-10      	   62998	      1903 ns/op	   13592 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=100-10      	   63919	      1878 ns/op	   13592 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=100-10      	   64250	      1886 ns/op	   13592 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=100-10      	   64716	      1888 ns/op	   13592 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=100-10      	   64160	      1907 ns/op	   13592 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=500-10      	   13306	      9017 ns/op	   65560 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=500-10      	   13432	      8958 ns/op	   65560 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=500-10      	   13266	      9083 ns/op	   65560 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=500-10      	   13238	      9072 ns/op	   65560 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=500-10      	   13280	      9041 ns/op	   65560 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=500-10      	   13376	      8948 ns/op	   65560 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=1000-10     	    7129	     17483 ns/op	  131096 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=1000-10     	    7246	     17483 ns/op	  131096 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=1000-10     	    7042	     17402 ns/op	  131096 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=1000-10     	    7314	     17424 ns/op	  131096 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=1000-10     	    7057	     17639 ns/op	  131096 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=1000-10     	    7053	     22115 ns/op	  131097 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=5000-10     	     524	    375039 ns/op	  647213 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=5000-10     	     252	    418784 ns/op	  647216 B/op	       2 allocs/op
BenchmarkBuildSlice/size=128_length=5000-10     	     495	    216807 ns/op	  647200 B/op	       2 allocs/op
