goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkAppend/size=50_subset=100-10        	  797385	       136.5 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=100-10        	  944292	       135.6 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=100-10        	 1000000	       136.3 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=100-10        	  789040	       136.0 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=100-10        	  918660	       136.0 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=100-10        	  837452	       138.5 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=100-10       	  902226	       138.4 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=100-10       	  972019	       137.7 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=100-10       	  832105	       138.1 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=100-10       	  933216	       138.5 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=100-10       	  967090	       138.6 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=100-10       	  955921	       137.6 ns/op	    1792 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=100-10       	  129264	       926.4 ns/op	   12672 B/op	       3 allocs/op
BenchmarkAppend/size=500_subset=100-10       	  129889	       932.5 ns/op	   12672 B/op	       3 allocs/op
BenchmarkAppend/size=500_subset=100-10       	  129661	       928.6 ns/op	   12672 B/op	       3 allocs/op
BenchmarkAppend/size=500_subset=100-10       	  131328	       927.6 ns/op	   12672 B/op	       3 allocs/op
BenchmarkAppend/size=500_subset=100-10       	  132115	       928.8 ns/op	   12672 B/op	       3 allocs/op
BenchmarkAppend/size=500_subset=100-10       	  128890	       932.4 ns/op	   12672 B/op	       3 allocs/op
BenchmarkAppend/size=1000_subset=100-10      	   72523	      1653 ns/op	   22912 B/op	       4 allocs/op
BenchmarkAppend/size=1000_subset=100-10      	   72835	      1657 ns/op	   22912 B/op	       4 allocs/op
BenchmarkAppend/size=1000_subset=100-10      	   72082	      1665 ns/op	   22912 B/op	       4 allocs/op
BenchmarkAppend/size=1000_subset=100-10      	   72741	      1647 ns/op	   22912 B/op	       4 allocs/op
BenchmarkAppend/size=1000_subset=100-10      	   61598	      1708 ns/op	   22912 B/op	       4 allocs/op
BenchmarkAppend/size=1000_subset=100-10      	   73106	      1696 ns/op	   22912 B/op	       4 allocs/op
BenchmarkAppend/size=5000_subset=100-10      	   14234	      8449 ns/op	  125952 B/op	       8 allocs/op
BenchmarkAppend/size=5000_subset=100-10      	   14240	      8440 ns/op	  125952 B/op	       8 allocs/op
BenchmarkAppend/size=5000_subset=100-10      	   14096	      8543 ns/op	  125952 B/op	       8 allocs/op
BenchmarkAppend/size=5000_subset=100-10      	   14101	      8489 ns/op	  125952 B/op	       8 allocs/op
BenchmarkAppend/size=5000_subset=100-10      	   14133	      8522 ns/op	  125952 B/op	       8 allocs/op
