goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkSubset/size=1000_subset=100-10      	   16564	      7249 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=100-10      	   16551	      7279 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=100-10      	    3744	     32115 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=100-10      	    3820	     31816 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=100-10      	    3806	     31853 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=100-10      	    3732	     33821 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=100-10      	    3694	     32369 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=100-10      	    3782	     31958 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=100-10     	    1897	     64054 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=100-10     	    1864	     64338 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=100-10     	    1900	     63926 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=100-10     	    1910	     63862 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=100-10     	    1904	     63661 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=100-10     	    1887	     63682 ns/op	    1792 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=500-10        	   15212	      7877 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=500-10        	   15218	      7882 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=500-10        	   15190	      7896 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=500-10        	   15190	      7883 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=500-10        	   15196	      7903 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=500-10        	   15208	      7881 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=500-10        	   14667	      8183 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=500-10        	   14718	      8151 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=500-10        	   14677	      8161 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=500-10        	   14692	      8156 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=500-10        	   14655	      8189 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=500-10        	   14662	      8183 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=500-10       	   13750	      8718 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=500-10       	   13798	      8690 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=500-10       	   13842	      8676 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=500-10       	   13824	      8669 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=500-10       	   13815	      8667 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=500-10       	   13776	      8711 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=500-10       	    9907	     11972 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=500-10       	   10000	     11913 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=500-10       	   10000	     11925 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=500-10       	   10000	     11913 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=500-10       	   10000	     11927 ns/op	    8192 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=500-10       	   10000	     11899 ns/op	    8192 B/op	       2 allocs/op
