goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkRangeCopy/size=64_length=10000-10      	   10000	     10635 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10000-10      	   10000	     10637 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10000-10      	   10000	     10696 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10000-10      	   10000	     10606 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10000-10      	   10000	     10624 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10000-10      	   10000	     10622 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100000-10     	    1101	    107465 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100000-10     	    1123	    107615 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100000-10     	    1113	    107614 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100000-10     	    1100	    108313 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100000-10     	    1107	    108087 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100000-10     	    1108	    107669 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10-10        	10515015	        11.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10-10        	10026178	        11.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10-10        	10209471	        11.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10-10        	10399026	        11.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10-10        	 9654320	        11.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10-10        	10189387	        11.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100-10       	 1000000	       103.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100-10       	 1000000	       103.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100-10       	 1000000	       103.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100-10       	 1000000	       103.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100-10       	 1000000	       103.7 ns/op	       0 B/op	       0 allocs/op
