goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
,assets/BenchmarkNeedleInAHaystack-map.txt,,assets/BenchmarkNeedleInAHaystack-slice.txt,,,
,sec/op,CI,sec/op,CI,vs base,P
NeedleInAHaystack/size=50_iterations=50-10,3,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=50_iterations=100-10,3,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=50_iterations=500-10,3,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=50_iterations=1000-10,3,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=100_iterations=10-10,3,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=100_iterations=50-10,3,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=100_iterations=100-10,3,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=100_iterations=500-10,3,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=100_iterations=1000-10,3,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=500_iterations=10-10,3,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=500_iterations=50-10,3,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=500_iterations=100-10,3,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=500_iterations=500-10,3,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=500_iterations=1000-10,3,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=1000_iterations=10-10,5,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=1000_iterations=50-10,5,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=1000_iterations=100-10,5,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=1000_iterations=500-10,5,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=1000_iterations=1000-10,5,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=5000_iterations=10-10,17,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=5000_iterations=50-10,17,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=5000_iterations=100-10,17,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=5000_iterations=500-10,17,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=5000_iterations=1000-10,17,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=10000_iterations=10-10,33,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=10000_iterations=50-10,33,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=10000_iterations=100-10,33,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=10000_iterations=500-10,33,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=10000_iterations=1000-10,33,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=50000_iterations=10-10,129,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=50000_iterations=50-10,129,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=50000_iterations=100-10,129,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=50000_iterations=500-10,129,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=50000_iterations=1000-10,129,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=100000_iterations=10-10,257,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=100000_iterations=50-10,257,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=100000_iterations=100-10,257,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=100000_iterations=500-10,257,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=100000_iterations=1000-10,257,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=500000_iterations=10-10,2049,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=500000_iterations=50-10,2049,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=500000_iterations=100-10,2049,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=500000_iterations=500-10,2049,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=500000_iterations=1000-10,2049,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=1000000_iterations=10-10,4097,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=1000000_iterations=50-10,4097,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=1000000_iterations=100-10,4097,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=1000000_iterations=500-10,4097,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=1000000_iterations=1000-10,4097,0%,0,0%,-100.00%,p=0.002 n=6
geomean,33.6789828933094,,,,?,
