goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkRangeCopy/size=64_length=10000-10      	    4688	     49154 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10000-10      	    4520	     26735 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10000-10      	    4233	     26438 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10000-10      	    4682	     26070 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10000-10      	    4612	     27069 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100000-10     	     439	    273294 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100000-10     	     442	    272351 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100000-10     	     456	    262245 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100000-10     	     456	    264452 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100000-10     	     447	    265998 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100000-10     	     459	    262299 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10-10        	 2200788	        54.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10-10        	 2170359	        55.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10-10        	 2176060	        55.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10-10        	 2201341	        54.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10-10        	 2203298	        54.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10-10        	 2197255	        54.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100-10       	  221478	       543.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100-10       	  218541	       564.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100-10       	  218112	       559.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100-10       	  216987	       554.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100-10       	  223255	       563.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100-10       	  205874	       551.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=1000-10      	   21759	      5506 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=1000-10      	   22124	      5559 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=1000-10      	   20857	      5825 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=1000-10      	   21123	      5616 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=1000-10      	   21538	      5539 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=1000-10      	   22027	      5446 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10000-10     	    2200	     54380 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10000-10     	    2212	     54356 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10000-10     	    2199	     55927 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10000-10     	    2140	     56253 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10000-10     	    2137	     55386 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10000-10     	    2143	     54992 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100000-10    	     218	    546494 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100000-10    	     218	    546676 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100000-10    	     219	    546002 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100000-10    	     219	    544930 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100000-10    	     217	    547520 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100000-10    	     219	    546043 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10-10        	 1383141	        86.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10-10        	 1352468	        88.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10-10        	 1338582	        89.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10-10        	 1000000	       127.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10-10        	 1359093	        89.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10-10        	 1318030	        90.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100-10       	  135081	       881.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100-10       	  138440	       863.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=100-10       	  134716	       877.1 ns/op	       0 B/op	       0 allocs/op
