goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
                                    │ assets/BenchmarkConcat-builder.txt │ assets/BenchmarkConcat-builder_pool.txt │      assets/BenchmarkConcat-join.txt      │      assets/BenchmarkConcat-plus.txt      │     assets/BenchmarkConcat-sprintf.txt     │
                                    │               sec/op               │      sec/op       vs base               │     sec/op       vs base                  │     sec/op       vs base                  │     sec/op       vs base                   │
Concat/size=10_iterations=5000-10                             21.00 ± 0%        21.00 ± 0%       ~ (p=1.000 n=6) ¹   5019.00 ± 0%  +23800.00% (p=0.002 n=6)   10031.50 ± 0%  +47669.05% (p=0.002 n=6)   15164.00 ± 0%  +72109.52% (p=0.002 n=6)
Concat/size=50_iterations=10-10                               5.000 ± 0%        5.000 ± 0%       ~ (p=1.000 n=6) ¹    10.000 ± 0%    +100.00% (p=0.002 n=6)     19.000 ± 0%    +280.00% (p=0.002 n=6)     29.000 ± 0%    +480.00% (p=0.002 n=6)
Concat/size=50_iterations=50-10                               9.000 ± 0%        9.000 ± 0%       ~ (p=1.000 n=6) ¹    50.000 ± 0%    +455.56% (p=0.002 n=6)     99.000 ± 0%   +1000.00% (p=0.002 n=6)    149.000 ± 0%   +1555.56% (p=0.002 n=6)
Concat/size=50_iterations=100-10                              11.00 ± 0%        11.00 ± 0%       ~ (p=1.000 n=6) ¹    100.00 ± 0%    +809.09% (p=0.002 n=6)     199.00 ± 0%   +1709.09% (p=0.002 n=6)     299.00 ± 0%   +2618.18% (p=0.002 n=6)
Concat/size=50_iterations=500-10                              17.00 ± 0%        17.00 ± 0%       ~ (p=1.000 n=6) ¹    501.00 ± 0%   +2847.06% (p=0.002 n=6)    1001.00 ± 0%   +5788.24% (p=0.002 n=6)    1512.00 ± 0%   +8794.12% (p=0.002 n=6)
Concat/size=50_iterations=1000-10                             19.00 ± 0%        19.00 ± 0%       ~ (p=1.000 n=6) ¹   1005.00 ± 0%   +5189.47% (p=0.002 n=6)    2009.00 ± 0%  +10473.68% (p=0.002 n=6)    3396.00 ± 0%  +17773.68% (p=0.002 n=6)
Concat/size=50_iterations=5000-10                             25.00 ± 0%        26.00 ± 0%  +4.00% (p=0.002 n=6)     5105.00 ± 0%  +20320.00% (p=0.002 n=6)   10131.00 ± 0%  +40424.00% (p=0.002 n=6)   21155.50 ± 0%  +84522.00% (p=0.002 n=6)
Concat/size=100_iterations=10-10                              6.000 ± 0%        6.000 ± 0%       ~ (p=1.000 n=6) ¹    10.000 ± 0%     +66.67% (p=0.002 n=6)     19.000 ± 0%    +216.67% (p=0.002 n=6)     29.000 ± 0%    +383.33% (p=0.002 n=6)
Concat/size=100_iterations=50-10                              11.00 ± 0%        11.00 ± 0%       ~ (p=1.000 n=6) ¹     50.00 ± 0%    +354.55% (p=0.002 n=6)      99.00 ± 0%    +800.00% (p=0.002 n=6)     149.00 ± 0%   +1254.55% (p=0.002 n=6)
Concat/size=100_iterations=100-10                             13.00 ± 0%        13.00 ± 0%       ~ (p=1.000 n=6) ¹    100.00 ± 0%    +669.23% (p=0.002 n=6)     199.00 ± 0%   +1430.77% (p=0.002 n=6)     300.00 ± 0%   +2207.69% (p=0.002 n=6)
Concat/size=100_iterations=500-10                             18.00 ± 0%        18.00 ± 0%       ~ (p=1.000 n=6) ¹    502.00 ± 0%   +2688.89% (p=0.002 n=6)    1002.00 ± 0%   +5466.67% (p=0.002 n=6)    1714.00 ± 0%   +9422.22% (p=0.002 n=6)
Concat/size=100_iterations=1000-10                            21.00 ± 0%        21.00 ± 0%       ~ (p=1.000 n=6) ¹   1010.00 ± 0%   +4709.52% (p=0.002 n=6)    2016.50 ± 0%   +9502.38% (p=0.002 n=6)    3851.00 ± 0%  +18238.10% (p=0.002 n=6)
Concat/size=100_iterations=5000-10                            28.00 ± 0%        30.00 ± 0%  +7.14% (p=0.002 n=6)     5087.50 ± 0%  +18069.64% (p=0.002 n=6)   10188.00 ± 0%  +36285.71% (p=0.002 n=6)   22937.50 ± 4%  +81819.64% (p=0.002 n=6)
Concat/size=500_iterations=10-10                              7.000 ± 0%        7.000 ± 0%       ~ (p=1.000 n=6) ¹    10.000 ± 0%     +42.86% (p=0.002 n=6)     19.000 ± 0%    +171.43% (p=0.002 n=6)     29.000 ± 0%    +314.29% (p=0.002 n=6)
Concat/size=500_iterations=50-10                              12.00 ± 0%        12.00 ± 0%       ~ (p=1.000 n=6) ¹     50.00 ± 0%    +316.67% (p=0.002 n=6)      99.00 ± 0%    +725.00% (p=0.002 n=6)     167.00 ± 0%   +1291.67% (p=0.002 n=6)
Concat/size=500_iterations=100-10                             15.00 ± 0%        15.00 ± 0%       ~ (p=1.000 n=6) ¹    100.00 ± 0%    +566.67% (p=0.002 n=6)     199.00 ± 1%   +1226.67% (p=0.002 n=6)     387.00 ± 0%   +2480.00% (p=0.002 n=6)
Concat/size=500_iterations=500-10                             21.00 ± 0%        23.00 ± 0%  +9.52% (p=0.002 n=6)      508.00 ± 1%   +2319.05% (p=0.002 n=6)    1010.50 ± 0%   +4711.90% (p=0.002 n=6)    2350.50 ± 4%  +11092.86% (p=0.002 n=6)
Concat/size=500_iterations=1000-10                            24.00 ± 0%        26.00 ± 0%  +8.33% (p=0.002 n=6)     1024.50 ± 1%   +4168.75% (p=0.002 n=6)    2029.50 ± 1%   +8356.25% (p=0.002 n=6)    4753.00 ± 0%  +19704.17% (p=0.002 n=6)
Concat/size=500_iterations=5000-10                            32.00 ± 0%        34.00 ± 0%  +6.25% (p=0.002 n=6)     5175.50 ± 1%  +16073.44% (p=0.002 n=6)   10360.00 ± 1%  +32275.00% (p=0.002 n=6)   24719.50 ± 5%  +77148.44% (p=0.002 n=6)
Concat/size=1000_iterations=10-10                             8.000 ± 0%        8.000 ± 0%       ~ (p=1.000 n=6) ¹    10.000 ± 0%     +25.00% (p=0.002 n=6)     19.000 ± 0%    +137.50% (p=0.002 n=6)     29.000 ± 0%    +262.50% (p=0.002 n=6)
Concat/size=1000_iterations=50-10                             12.00 ± 0%        12.00 ± 0%       ~ (p=1.000 n=6) ¹     50.00 ± 0%    +316.67% (p=0.002 n=6)      99.00 ± 0%    +725.00% (p=0.002 n=6)     203.00 ± 0%   +1591.67% (p=0.002 n=6)
Concat/size=1000_iterations=100-10                            16.00 ± 0%        16.00 ± 6%       ~ (p=0.455 n=6)      100.00 ± 0%    +525.00% (p=0.002 n=6)     200.00 ± 0%   +1150.00% (p=0.002 n=6)     442.00 ± 0%   +2662.50% (p=0.002 n=6)
Concat/size=1000_iterations=500-10                            22.00 ± 0%        24.00 ± 4%  +9.09% (p=0.002 n=6)      507.00 ± 0%   +2204.55% (p=0.002 n=6)    1026.50 ± 2%   +4565.91% (p=0.002 n=6)    2498.00 ± 2%  +11254.55% (p=0.002 n=6)
Concat/size=1000_iterations=1000-10                           26.00 ± 0%        28.00 ± 4%  +7.69% (p=0.002 n=6)     1025.00 ± 1%   +3842.31% (p=0.002 n=6)    2019.00 ± 1%   +7665.38% (p=0.002 n=6)    5106.00 ± 4%  +19538.46% (p=0.002 n=6)
