goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkStringByteConversion/size=4096_iterations=100-10     	    1112	    123833 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1000-10    	     100	   1073961 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1000-10    	     100	   1082836 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1000-10    	     100	   1055446 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1000-10    	     100	   1090118 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1000-10    	     100	   1262582 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1000-10    	      96	   1215839 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1-10      	   25258	      4399 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1-10      	   28006	      4312 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1-10      	   29283	      4212 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1-10      	   26527	      4552 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1-10      	   20554	      5899 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1-10      	   28911	      4125 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=10-10     	    2934	     39646 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=10-10     	    2980	     39804 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=10-10     	    3031	     39799 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=10-10     	    3006	     39779 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=10-10     	    3042	     39614 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=10-10     	    2978	     39695 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=100-10    	     302	    400227 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=100-10    	     300	    397979 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=100-10    	     301	    405683 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=100-10    	     298	    402512 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=100-10    	     279	    424014 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=100-10    	     292	    405139 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1000-10   	      30	   3968207 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1000-10   	      28	   3978665 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1000-10   	      30	   3984369 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1000-10   	      30	   4000094 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1000-10   	      30	   3970957 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1000-10   	      30	   3969286 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1-10      	    7299	     15828 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1-10      	    7357	     16038 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1-10      	    7600	     16001 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1-10      	    7387	     16386 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1-10      	    7465	     15965 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1-10      	    7574	     15992 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=10-10     	     756	    160226 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=10-10     	     754	    160000 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=10-10     	     756	    159065 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=10-10     	     744	    160060 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=10-10     	     732	    159509 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=10-10     	     739	    159948 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=100-10    	      73	   1596502 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=100-10    	      72	   1591230 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=100-10    	      74	   1589953 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=100-10    	      66	   1602879 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=100-10    	      76	   1585200 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=100-10    	      75	   1589115 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1000-10   	       7	  15907065 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1000-10   	       7	  15895381 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1000-10   	       7	  15909065 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1000-10   	       7	  15888327 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1000-10   	       7	  15954339 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=65536_iterations=1000-10   	       7	  15869964 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks	20.298s
