goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
,assets/BenchmarkConcatLarge-builder.txt,,assets/BenchmarkConcatLarge-builder_pool.txt,,,,assets/BenchmarkConcatLarge-join.txt,,,,assets/BenchmarkConcatLarge-plus.txt,,,,assets/BenchmarkConcatLarge-sprintf.txt,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P,sec/op,CI,vs base,P,sec/op,CI,vs base,P

,assets/BenchmarkConcatLarge-builder.txt,,assets/BenchmarkConcatLarge-builder_pool.txt,,,,assets/BenchmarkConcatLarge-join.txt,,,,assets/BenchmarkConcatLarge-plus.txt,,,,assets/BenchmarkConcatLarge-sprintf.txt,,,
,allocs/op,CI,allocs/op,CI,vs base,P,allocs/op,CI,vs base,P,allocs/op,CI,vs base,P,allocs/op,CI,vs base,P
ConcatLarge/size=500_iterations=100-10,15,0%,15,0%,~,p=1.000 n=10,100,0%,+566.67%,p=0.000 n=10,200,1%,+1233.33%,p=0.000 n=10,387,0%,+2480.00%,p=0.000 n=10
ConcatLarge/size=500_iterations=500-10,21,0%,22.5,2%,+7.14%,p=0.000 n=10,507.5,1%,+2316.67%,p=0.000 n=10,1015,0%,+4733.33%,p=0.000 n=10,2293.5,3%,+10821.43%,p=0.000 n=10
ConcatLarge/size=500_iterations=1000-10,24,0%,26,0%,+8.33%,p=0.000 n=10,1020,0%,+4150.00%,p=0.000 n=10,2037,0%,+8387.50%,p=0.000 n=10,4718,0%,+19558.33%,p=0.000 n=10
ConcatLarge/size=500_iterations=5000-10,32,0%,34,0%,+6.25%,p=0.000 n=10,5191.5,1%,+16123.44%,p=0.000 n=10,10359,0%,+32271.88%,p=0.000 n=10,24762.5,0%,+77282.81%,p=0.000 n=10
ConcatLarge/size=1000_iterations=100-10,15,0%,15,0%,~,p=1.000 n=10,100,0%,+566.67%,p=0.000 n=10,201,0%,+1240.00%,p=0.000 n=10,442,0%,+2846.67%,p=0.000 n=10
ConcatLarge/size=1000_iterations=500-10,23,0%,25,0%,+8.70%,p=0.000 n=10,506,0%,+2100.00%,p=0.000 n=10,1019,0%,+4330.43%,p=0.000 n=10,2496,0%,+10752.17%,p=0.000 n=10
ConcatLarge/size=1000_iterations=1000-10,25,0%,27,0%,+8.00%,p=0.000 n=10,1027,0%,+4008.00%,p=0.000 n=10,2045,0%,+8080.00%,p=0.000 n=10,5096,0%,+20284.00%,p=0.000 n=10
ConcatLarge/size=1000_iterations=5000-10,32,0%,34,0%,+6.25%,p=0.000 n=10,5187,1%,+16109.38%,p=0.000 n=10,10317.5,0%,+32142.19%,p=0.000 n=10,26025.5,0%,+81229.69%,p=0.000 n=10
ConcatLarge/size=5000_iterations=100-10,17,0%,19,0%,+11.76%,p=0.000 n=10,101,1%,+494.12%,p=0.000 n=10,216,1%,+1170.59%,p=0.000 n=10,616.5,1%,+3526.47%,p=0.000 n=10
ConcatLarge/size=5000_iterations=500-10,25,0%,27,0%,+8.00%,p=0.000 n=10,515,1%,+1960.00%,p=0.000 n=10,1021,1%,+3984.00%,p=0.000 n=10,3113.5,2%,+12354.00%,p=0.000 n=10
ConcatLarge/size=5000_iterations=1000-10,28,0%,30,0%,+7.14%,p=0.000 n=10,1040,0%,+3614.29%,p=0.000 n=10,2058,1%,+7250.00%,p=0.000 n=10,6252.5,1%,+22230.36%,p=0.000 n=10
ConcatLarge/size=5000_iterations=5000-10,35,0%,37,0%,+5.71%,p=0.000 n=10,5186,2%,+14717.14%,p=0.000 n=10,10310,0%,+29357.14%,p=0.000 n=10,31352.5,1%,+89478.57%,p=0.000 n=10
geomean,23.461169390024068,,24.960504627668477,,+6.39%,,722.764358743616,,+2980.68%,,1450.3368168348065,,+6081.86%,,3656.3445116459898,,+15484.66%,
