goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkAppend/size=5000_subset=500-10      	   36786	      3275 ns/op	   49152 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=500-10      	   37496	      3270 ns/op	   49152 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=500-10      	   36704	      3304 ns/op	   49152 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=500-10     	   20101	      5948 ns/op	   90112 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=500-10     	   19964	      6014 ns/op	   90112 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=500-10     	   20089	      5994 ns/op	   90112 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=500-10     	   20016	      6032 ns/op	   90112 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=500-10     	   19904	      6011 ns/op	   90112 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=500-10     	   20134	      5953 ns/op	   90112 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=500-10     	    4320	     25623 ns/op	  409600 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=500-10     	    4936	     25437 ns/op	  409600 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=500-10     	    4773	     26121 ns/op	  409601 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=500-10     	    4828	     25548 ns/op	  409600 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=500-10     	    4820	     25407 ns/op	  409600 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=500-10     	    4852	     25721 ns/op	  409600 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=500-10    	    2128	     57022 ns/op	  811021 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=500-10    	    2110	     57133 ns/op	  811020 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=500-10    	    2169	     58249 ns/op	  811021 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=500-10    	    2088	     58708 ns/op	  811022 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=500-10    	    1922	     59121 ns/op	  811024 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=500-10    	    2116	     57670 ns/op	  811022 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=500-10    	     601	    202545 ns/op	 4005900 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=500-10    	     553	    202155 ns/op	 4005902 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=500-10    	     612	    196050 ns/op	 4005899 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=500-10    	     595	    195980 ns/op	 4005898 B/op	       1 allocs/op
