goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M1
                                 │ assets/BenchmarkAppend-expand.txt │    assets/BenchmarkAppend-for_index.txt     │   assets/BenchmarkAppend-for_prealloc.txt   │    assets/BenchmarkAppend-for.txt     │
                                 │              sec/op               │     sec/op       vs base                    │     sec/op       vs base                    │    sec/op     vs base                 │
Append/size=1000_subset=100-8                           0.000 ± 0%           1.000 ± 0%  ? (p=0.000 n=10)              1.000 ± 0%  ? (p=0.000 n=10)      0.000 ± 0%          ~ (p=1.000 n=10) ¹
Append/size=1000_subset=500-8                           1.000 ± 0%           1.000 ± 0%  ~ (p=1.000 n=10) ¹            1.000 ± 0%  ~ (p=1.000 n=10) ¹    1.000 ± 0%          ~ (p=1.000 n=10) ¹
Append/size=1000_subset=1000-8                          1.000 ± 0%           1.000 ± 0%  ~ (p=1.000 n=10) ¹            1.000 ± 0%  ~ (p=1.000 n=10) ¹    2.000 ± 0%   +100.00% (p=0.000 n=10)
Append/size=1000_subset=5000-8                          1.000 ± 0%           1.000 ± 0%  ~ (p=1.000 n=10) ¹            1.000 ± 0%  ~ (p=1.000 n=10) ¹    5.000 ± 0%   +400.00% (p=0.000 n=10)
Append/size=1000_subset=10000-8                         1.000 ± 0%           1.000 ± 0%  ~ (p=1.000 n=10) ¹            1.000 ± 0%  ~ (p=1.000 n=10) ¹    7.000 ± 0%   +600.00% (p=0.000 n=10)
Append/size=5000_subset=10-8                            0.000 ± 0%           1.000 ± 0%  ? (p=0.000 n=10)              1.000 ± 0%  ? (p=0.000 n=10)      0.000 ± 0%          ~ (p=1.000 n=10) ¹
Append/size=5000_subset=100-8                           0.000 ± 0%           1.000 ± 0%  ? (p=0.000 n=10)              1.000 ± 0%  ? (p=0.000 n=10)      0.000 ± 0%          ~ (p=1.000 n=10) ¹
Append/size=5000_subset=500-8                           1.000 ± 0%           1.000 ± 0%  ~ (p=1.000 n=10) ¹            1.000 ± 0%  ~ (p=1.000 n=10) ¹    1.000 ± 0%          ~ (p=1.000 n=10) ¹
Append/size=5000_subset=1000-8                          1.000 ± 0%           1.000 ± 0%  ~ (p=1.000 n=10) ¹            1.000 ± 0%  ~ (p=1.000 n=10) ¹    1.000 ± 0%          ~ (p=1.000 n=10) ¹
Append/size=5000_subset=5000-8                          1.000 ± 0%           1.000 ± 0%  ~ (p=1.000 n=10) ¹            1.000 ± 0%  ~ (p=1.000 n=10) ¹    3.000 ± 0%   +200.00% (p=0.000 n=10)
