goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkBuildSlice/size=32_length=1000-10      	   13725	      8782 ns/op	  100953 B/op	      12 allocs/op
BenchmarkBuildSlice/size=32_length=1000-10      	   10000	     10081 ns/op	  100953 B/op	      12 allocs/op
BenchmarkBuildSlice/size=32_length=1000-10      	   10000	     11094 ns/op	  100953 B/op	      12 allocs/op
BenchmarkBuildSlice/size=32_length=1000-10      	   13077	      9405 ns/op	  100953 B/op	      12 allocs/op
BenchmarkBuildSlice/size=32_length=1000-10      	   12955	      9197 ns/op	  100952 B/op	      12 allocs/op
BenchmarkBuildSlice/size=32_length=1000-10      	   13562	      8918 ns/op	  100952 B/op	      12 allocs/op
BenchmarkBuildSlice/size=32_length=5000-10      	    2059	     56566 ns/op	  715360 B/op	      17 allocs/op
BenchmarkBuildSlice/size=32_length=5000-10      	    2263	     54045 ns/op	  715359 B/op	      17 allocs/op
BenchmarkBuildSlice/size=32_length=5000-10      	    2314	     56296 ns/op	  715362 B/op	      17 allocs/op
BenchmarkBuildSlice/size=32_length=5000-10      	    1813	     61329 ns/op	  715361 B/op	      17 allocs/op
BenchmarkBuildSlice/size=32_length=5000-10      	    2312	     55865 ns/op	  715362 B/op	      17 allocs/op
BenchmarkBuildSlice/size=32_length=5000-10      	    1970	     59514 ns/op	  715363 B/op	      17 allocs/op
BenchmarkBuildSlice/size=32_length=10000-10     	    1092	    109042 ns/op	 1313386 B/op	      19 allocs/op
BenchmarkBuildSlice/size=32_length=10000-10     	    1126	    119552 ns/op	 1313388 B/op	      19 allocs/op
BenchmarkBuildSlice/size=32_length=10000-10     	    1195	    111919 ns/op	 1313389 B/op	      19 allocs/op
BenchmarkBuildSlice/size=32_length=10000-10     	    1132	    101667 ns/op	 1313389 B/op	      19 allocs/op
BenchmarkBuildSlice/size=32_length=10000-10     	    1237	    102737 ns/op	 1313388 B/op	      19 allocs/op
BenchmarkBuildSlice/size=32_length=10000-10     	    1069	    111826 ns/op	 1313386 B/op	      19 allocs/op
BenchmarkBuildSlice/size=32_length=50000-10     	     222	    530648 ns/op	 8055452 B/op	      26 allocs/op
BenchmarkBuildSlice/size=32_length=50000-10     	     172	    611619 ns/op	 8055443 B/op	      26 allocs/op
BenchmarkBuildSlice/size=32_length=50000-10     	     225	    531200 ns/op	 8055446 B/op	      26 allocs/op
BenchmarkBuildSlice/size=32_length=50000-10     	     224	    532182 ns/op	 8055453 B/op	      26 allocs/op
BenchmarkBuildSlice/size=32_length=50000-10     	     220	    538146 ns/op	 8055461 B/op	      26 allocs/op
BenchmarkBuildSlice/size=32_length=50000-10     	     223	    513754 ns/op	 8055456 B/op	      26 allocs/op
BenchmarkBuildSlice/size=32_length=100000-10    	     127	    943538 ns/op	16403091 B/op	      29 allocs/op
BenchmarkBuildSlice/size=32_length=100000-10    	     129	    921793 ns/op	16403090 B/op	      29 allocs/op
BenchmarkBuildSlice/size=32_length=100000-10    	     100	   1013092 ns/op	16403093 B/op	      29 allocs/op
BenchmarkBuildSlice/size=32_length=100000-10    	     124	    965179 ns/op	16403092 B/op	      29 allocs/op
BenchmarkBuildSlice/size=32_length=100000-10    	     122	    969689 ns/op	16403086 B/op	      29 allocs/op
BenchmarkBuildSlice/size=32_length=100000-10    	     123	    978822 ns/op	16403085 B/op	      29 allocs/op
BenchmarkBuildSlice/size=128_length=10-10       	  183097	       579.6 ns/op	    3992 B/op	       6 allocs/op
BenchmarkBuildSlice/size=128_length=10-10       	  234704	       540.9 ns/op	    3992 B/op	       6 allocs/op
BenchmarkBuildSlice/size=128_length=10-10       	  216452	       506.5 ns/op	    3992 B/op	       6 allocs/op
BenchmarkBuildSlice/size=128_length=10-10       	  245049	       487.9 ns/op	    3992 B/op	       6 allocs/op
BenchmarkBuildSlice/size=128_length=10-10       	  253293	       490.5 ns/op	    3992 B/op	       6 allocs/op
BenchmarkBuildSlice/size=128_length=10-10       	  216152	       495.6 ns/op	    3992 B/op	       6 allocs/op
BenchmarkBuildSlice/size=128_length=50-10       	   57817	      2376 ns/op	   16280 B/op	       8 allocs/op
BenchmarkBuildSlice/size=128_length=50-10       	   39133	      2626 ns/op	   16280 B/op	       8 allocs/op
BenchmarkBuildSlice/size=128_length=50-10       	   61005	      2120 ns/op	   16280 B/op	       8 allocs/op
BenchmarkBuildSlice/size=128_length=50-10       	   49807	      2292 ns/op	   16280 B/op	       8 allocs/op
BenchmarkBuildSlice/size=128_length=50-10       	   55510	      2198 ns/op	   16280 B/op	       8 allocs/op
BenchmarkBuildSlice/size=128_length=50-10       	   48819	      2273 ns/op	   16280 B/op	       8 allocs/op
BenchmarkBuildSlice/size=128_length=100-10      	   30433	      4021 ns/op	   32664 B/op	       9 allocs/op
BenchmarkBuildSlice/size=128_length=100-10      	   26145	      4372 ns/op	   32664 B/op	       9 allocs/op
BenchmarkBuildSlice/size=128_length=100-10      	   26109	      4380 ns/op	   32664 B/op	       9 allocs/op
BenchmarkBuildSlice/size=128_length=100-10      	   31456	      3801 ns/op	   32664 B/op	       9 allocs/op
BenchmarkBuildSlice/size=128_length=100-10      	   32702	      3817 ns/op	   32664 B/op	       9 allocs/op
BenchmarkBuildSlice/size=128_length=100-10      	   31294	      3893 ns/op	   32664 B/op	       9 allocs/op
BenchmarkBuildSlice/size=128_length=500-10      	    9046	     14443 ns/op	  130970 B/op	      11 allocs/op
BenchmarkBuildSlice/size=128_length=500-10      	    9252	     15105 ns/op	  130970 B/op	      11 allocs/op
BenchmarkBuildSlice/size=128_length=500-10      	    7987	     18372 ns/op	  130970 B/op	      11 allocs/op
BenchmarkBuildSlice/size=128_length=500-10      	    9048	     16006 ns/op	  130971 B/op	      11 allocs/op
BenchmarkBuildSlice/size=128_length=500-10      	    8482	     14615 ns/op	  130972 B/op	      11 allocs/op
BenchmarkBuildSlice/size=128_length=500-10      	    8217	     14624 ns/op	  130972 B/op	      11 allocs/op
BenchmarkBuildSlice/size=128_length=1000-10     	    3259	     35656 ns/op	  401315 B/op	      13 allocs/op
BenchmarkBuildSlice/size=128_length=1000-10     	    3320	     47680 ns/op	  401309 B/op	      13 allocs/op
BenchmarkBuildSlice/size=128_length=1000-10     	    2782	     44005 ns/op	  401313 B/op	      13 allocs/op
BenchmarkBuildSlice/size=128_length=1000-10     	    2378	     47220 ns/op	  401310 B/op	      13 allocs/op
BenchmarkBuildSlice/size=128_length=1000-10     	    3010	     45343 ns/op	  401310 B/op	      13 allocs/op
BenchmarkBuildSlice/size=128_length=1000-10     	    3014	     38500 ns/op	  401318 B/op	      13 allocs/op
BenchmarkBuildSlice/size=128_length=5000-10     	     505	    265507 ns/op	 2621384 B/op	      18 allocs/op
BenchmarkBuildSlice/size=128_length=5000-10     	     459	    219303 ns/op	 2621381 B/op	      18 allocs/op
BenchmarkBuildSlice/size=128_length=5000-10     	     505	    220700 ns/op	 2621354 B/op	      18 allocs/op
BenchmarkBuildSlice/size=128_length=5000-10     	     597	    197169 ns/op	 2621344 B/op	      18 allocs/op
BenchmarkBuildSlice/size=128_length=5000-10     	     610	    194863 ns/op	 2621341 B/op	      18 allocs/op
BenchmarkBuildSlice/size=128_length=5000-10     	     625	    194466 ns/op	 2621342 B/op	      18 allocs/op
BenchmarkBuildSlice/size=128_length=10000-10    	     279	    442364 ns/op	 6201279 B/op	      21 allocs/op
BenchmarkBuildSlice/size=128_length=10000-10    	     259	    462871 ns/op	 6201301 B/op	      21 allocs/op
BenchmarkBuildSlice/size=128_length=10000-10    	     254	    557916 ns/op	 6201293 B/op	      21 allocs/op
BenchmarkBuildSlice/size=128_length=10000-10    	     259	    442254 ns/op	 6201278 B/op	      21 allocs/op
BenchmarkBuildSlice/size=128_length=10000-10    	     271	    428216 ns/op	 6201272 B/op	      21 allocs/op
BenchmarkBuildSlice/size=128_length=10000-10    	     288	    439704 ns/op	 6201279 B/op	      21 allocs/op
BenchmarkBuildSlice/size=128_length=50000-10    	      61	   1912154 ns/op	35561413 B/op	      28 allocs/op
BenchmarkBuildSlice/size=128_length=50000-10    	      60	   1737494 ns/op	35561420 B/op	      28 allocs/op
BenchmarkBuildSlice/size=128_length=50000-10    	      66	   1706866 ns/op	35561403 B/op	      28 allocs/op
BenchmarkBuildSlice/size=128_length=50000-10    	      66	   1774626 ns/op	35561412 B/op	      28 allocs/op
BenchmarkBuildSlice/size=128_length=50000-10    	      55	   1848568 ns/op	35561422 B/op	      28 allocs/op
BenchmarkBuildSlice/size=128_length=50000-10    	      63	   1731270 ns/op	35561412 B/op	      28 allocs/op
BenchmarkBuildSlice/size=128_length=100000-10   	      37	   3184375 ns/op	71573412 B/op	      31 allocs/op
BenchmarkBuildSlice/size=128_length=100000-10   	      31	   3342534 ns/op	71573410 B/op	      31 allocs/op
BenchmarkBuildSlice/size=128_length=100000-10   	      38	   3067330 ns/op	71573405 B/op	      31 allocs/op
BenchmarkBuildSlice/size=128_length=100000-10   	      38	   3055841 ns/op	71573411 B/op	      31 allocs/op
BenchmarkBuildSlice/size=128_length=100000-10   	      39	   3007849 ns/op	71573422 B/op	      31 allocs/op
BenchmarkBuildSlice/size=128_length=100000-10   	      36	   3280264 ns/op	71573431 B/op	      31 allocs/op
PASS
ok  	github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks	19.938s
