goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkAppend/size=100_subset=50-10        	 1000000	       117.7 ns/op	    1280 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=50-10        	 1000000	       117.6 ns/op	    1280 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=50-10        	 1000000	       117.8 ns/op	    1280 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=50-10        	 1000000	       117.6 ns/op	    1280 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=50-10        	 1000000	       117.2 ns/op	    1280 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=50-10        	 1000000	       117.1 ns/op	    1280 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=50-10        	  393081	       313.6 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=50-10        	  381770	       317.6 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=50-10        	  396409	       315.9 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=50-10        	  398427	       315.9 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=50-10        	  385526	       317.1 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=50-10        	  387721	       316.4 ns/op	    4864 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=50-10       	  217081	       567.0 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=50-10       	  215474	       566.3 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=50-10       	  210954	       565.1 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=50-10       	  211592	       566.2 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=50-10       	  218095	       564.2 ns/op	    9472 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=50-10       	  211968	       563.8 ns/op	    9472 B/op	       1 allocs/op
